yyyymm	Index	D12	E12	b/m	tbl	AAA	BAA	lty	ntis	Rfree	infl	ltr	corpr	svar	csp	CRSP_SPvw	CRSP_SPvwx
199901	1,279.64	16.2833	37.9333	0.1703206191	0.0434	0.0624	0.0729	0.0536	0.0155938921	0.0036166667	0.0024375393	0.0121	0.0123	0.0033356226	-0.0012959934	0.042800	0.042000
199902	1,238.33	16.3667	38.1567	0.1712768096	0.0444	0.0640	0.0739	0.0587	0.0184534190	0.0037000000	0.0012165452	-0.0520	-0.0401	0.0034821298	-0.0011728518	-0.031935	-0.033156
199903	1,286.37	16.4500	38.3800	0.1728971707	0.0444	0.0662	0.0753	0.0592	0.0206762987	0.0037000000	0.0030349037	-0.0008	0.0002	0.0032135534	-0.0010753509	0.038979	0.037774
199904	1,335.18	16.4500	39.2600	0.1568258764	0.0429	0.0664	0.0748	0.0594	0.0251882672	0.0035750000	0.0072464085	0.0021	-0.0024	0.0027266469	-0.0012580821	0.037559	0.036771
199905	1,301.84	16.4500	40.1400	0.1602311354	0.0450	0.0693	0.0772	0.0615	0.0259062129	0.0037500000	0.0000000000	-0.0185	-0.0176	0.0030856384	-0.0011522804	-0.023162	-0.024836
199906	1,372.71	16.4500	41.0200	0.1542274468	0.0457	0.0723	0.0802	0.0627	0.0188761710	0.0038083333	0.0000000000	-0.0078	-0.0160	0.0024092474	-0.0011446288	0.054431	0.053398
199907	1,328.72	16.5133	42.0000	0.1587964727	0.0455	0.0719	0.0795	0.0639	0.0194373440	0.0037916667	0.0030039073	-0.0077	-0.0113	0.0016111824	-0.0011695952	-0.030220	-0.031084
199908	1,320.41	16.5767	42.9800	0.1562430269	0.0472	0.0740	0.0815	0.0649	0.0189560936	0.0039333333	0.0023966458	-0.0053	-0.0026	0.0027298772	-0.0010558461	-0.004989	-0.006251
199909	1,282.71	16.6400	43.9600	0.1636844982	0.0468	0.0739	0.0820	0.0646	0.0204589499	0.0039000000	0.0047761285	0.0084	0.0093	0.0027049454	-0.0009857026	-0.028079	-0.029257
199910	1,362.93	16.6567	45.3633	0.1576906607	0.0486	0.0755	0.0838	0.0651	0.0205210598	0.0040500000	0.0017851835	-0.0012	0.0047	0.0048759339	-0.0005150403	0.064238	0.063512
199911	1,388.91	16.6733	46.7667	0.1555459671	0.0507	0.0736	0.0815	0.0662	0.0183547628	0.0042250000	0.0005943537	-0.0061	-0.0024	0.0013542581	0.0001107107	0.020822	0.019547
199912	1,469.25	16.6900	48.1700	0.1471672594	0.0520	0.0755	0.0819	0.0682	0.0179621806	0.0043333333	0.0000000000	-0.0155	-0.0102	0.0011487717	0.0000642780	0.062579	0.061549
200001	1,394.46	16.7133	49.0967	0.1546541600	0.0532	0.0778	0.0833	0.0666	0.0253866999	0.0044333333	0.0029708853	0.0228	-0.0021	0.0052063540	0.0006223722	-0.049606	-0.050273
200002	1,366.42	16.7367	50.0233	0.1670564326	0.0555	0.0768	0.0829	0.0646	0.0274341115	0.0046250000	0.0059241706	0.0264	0.0092	0.0030004220	0.0004046909	-0.017470	-0.018679
200003	1,498.58	16.7600	50.9500	0.1499735618	0.0569	0.0768	0.0837	0.0618	0.0183068897	0.0047416667	0.0082449941	0.0367	0.0169	0.0066783401	0.0001848837	0.098492	0.097434
200004	1,452.43	16.7400	51.2733	0.1526004182	0.0566	0.0764	0.0840	0.0630	0.0101461343	0.0047166667	0.0005841121	-0.0076	-0.0115	0.0079417212	-0.0003869421	-0.031585	-0.032308
200005	1,420.60	16.7200	51.5967	0.1556687311	0.0579	0.0799	0.0890	0.0640	0.0092062147	0.0048250000	0.0011675423	-0.0054	-0.0161	0.0051854980	0.0000089130	-0.022412	-0.023727
200006	1,454.60	16.7000	51.9200	0.1567779616	0.0569	0.0767	0.0848	0.0622	-0.0029930333	0.0047416667	0.0052478134	0.0244	0.0326	0.0023597429	-0.0002467433	0.026219	0.025497
200007	1,430.83	16.5800	52.5133	0.1556741510	0.0596	0.0765	0.0835	0.0611	-0.0104031272	0.0049666667	0.0023201856	0.0173	0.0179	0.0020654712	0.0000071590	-0.011950	-0.012721
200008	1,517.68	16.4600	53.1067	0.1460530640	0.0609	0.0755	0.0826	0.0594	0.0013720121	0.0050750000	0.0000000000	0.0240	0.0135	0.0010392754	-0.0002776155	0.063702	0.062384
200009	1,436.51	16.3400	53.7000	0.1537894629	0.0600	0.0762	0.0835	0.0612	0.0008144558	0.0050000000	0.0052083333	-0.0157	0.0046	0.0015999826	-0.0005084875	-0.051943	-0.052651
200010	1,429.40	16.3167	52.4667	0.1493007889	0.0611	0.0755	0.0834	0.0600	-0.0003169968	0.0050916667	0.0017271157	0.0187	0.0045	0.0055680729	-0.0013389528	-0.004217	-0.004924
200011	1,314.95	16.2933	51.2333	0.1572808929	0.0617	0.0745	0.0828	0.0576	-0.0009600056	0.0051416667	0.0005747126	0.0319	0.0263	0.0032724371	-0.0018525551	-0.078315	-0.079607
200012	1,320.28	16.2700	50.0000	0.1518515036	0.0577	0.0721	0.0802	0.0558	-0.0064315445	0.0048083333	-0.0005743825	0.0243	0.0270	0.0052993586	-0.0005248530	0.005664	0.004806
200101	1,366.01	16.1700	48.4800	0.1504496662	0.0515	0.0715	0.0793	0.0562	-0.0093392122	0.0042916667	0.0063218391	0.0005	0.0359	0.0049410477	-0.0015650504	0.032252	0.031430
200102	1,239.94	16.0700	46.9600	0.1560700913	0.0488	0.0710	0.0787	0.0549	-0.0114463464	0.0040666667	0.0039977156	0.0191	0.0127	0.0025284469	-0.0022728464	-0.091107	-0.092287
200103	1,160.33	15.9700	45.4400	0.1331135514	0.0442	0.0698	0.0784	0.0559	-0.0094811868	0.0036833333	0.0022753129	-0.0074	-0.0029	0.0071396324	-0.0018640665	-0.063499	-0.064384
