"e.ret"|"dp"|"dy"|"ep"|"de"|"tms"|"dfy"|"dfr"|"svar"|"bm"|"ntis"|"tbl"|"lty"|"ltr"|"infl"
0.0706680598029484|-3.33762457764454|-3.2990523028583|-2.83553263384731|-0.502091943797236|0.0264|0.0196|0.0059|0.003174063|0.5669523676|-0.0006319601|0.0016|0.028|0.001|0.0048544
0.0962936133749137|-3.35251359481318|-3.31611837242358|-2.87192785623691|-0.480585738576273|0.0261|0.0186|0.0013|0.0029078874|0.5599111913|0.0097201239|0.0015|0.0276|0.007|0.0024184
0.0495880721406857|-3.39492776864856|-3.33146018561535|-2.92232335770277|-0.472604410945793|0.0265|0.0163|0.0027|0.0018707745|0.5398354405|0.0096718608|0.002|0.0285|0.0055|0
0.0579077217050333|-3.39094088149497|-3.37430848144582|-2.926052352916|-0.464888528578965|0.0261|0.0148|-0.0027|0.0022304022|0.5290762473|0.0144720351|0.002|0.0281|0.0081|-0.0048426
-0.0435402130358759|-3.39584977533556|-3.37073817417745|-2.93842492829668|-0.457424847038875|0.0255|0.0157|-0.0024|0.0050518989|0.5276960471|0.0104988927|0.002|0.0275|0.0106|-0.0048662
0.0809346530542694|-3.28278515642956|-3.36299543846461|-2.8209432514644|-0.46184190496516|0.0254|0.0162|-9e-04|0.0058155861|0.5663485961|0.0221518557|0.002|0.0274|0.0035|0
0.0663230884561844|-3.29589936795754|-3.25116347411614|-2.82974713607973|-0.466152231877806|0.0253|0.0167|0|0.0029230919|0.5404874214|0.0213833466|0.002|0.0273|0.004|0
0.101048874096897|-3.29516323849485|-3.26506520733758|-2.82515960924912|-0.470003629245736|0.0253|0.0166|0.0061|0.001570348|0.523178388|0.0181444869|0.002|0.0273|0.0021|0.0097088
0.0448609965712108|-3.32528841847683|-3.25944515589278|-2.86853001598112|-0.456758402495715|0.0256|0.0161|-0.0049|0.0015825085|0.5004246027|0.0219749941|0.0015|0.0271|0.006|0.0048193
0.0385099381695337|-3.29959626892823|-3.29080224240566|-2.85534513578491|-0.444251133143321|0.0244|0.0153|-0.0044|0.0026452908|0.496121234|0.0198844204|0.002|0.0264|0.0111|0.0071857
0.109056933498467|-3.2675098488234|-3.26625984866064|-2.83508893072671|-0.432420918096693|0.0252|0.0144|0.0098|0.0011949557|0.4915981409|0.0213601353|0.0016|0.0268|-0.0031|0.0023838
0.0427485149214184|-3.28136338075304|-3.20908629753821|-2.87935767973503|-0.402005701018013|0.0256|0.0136|0.0019|0.0022297725|0.4657070279|0.0218466977|0.0013|0.0269|6e-04|-0.0023838
0.0351509544704664|-3.23037104057131|-3.22631188741885|-2.85627230913674|-0.374098731434578|0.0246|0.0137|-0.0096|0.0028525481|0.4502783539|0.0280255704|0.0011|0.0257|0.0205|0
