"e.ret"|"dp"|"dy"|"ep"|"de"|"tms"|"dfy"|"dfr"|"svar"|"bm"|"ntis"|"tbl"|"lty"|"ltr"|"infl"|"ik"|"eqis"
-0.415627568071998|-3.17224998352815|-2.92599507750718|-2.82394328925993|-0.348306694268216|0.0243|0.0143|-0.0075152257|0.0314787024|0.4585881045|0.0242794303|0.0012|0.0255|0.0749580625|0.0119625642|NA|0.120576671
0.262428807366666|-2.57926941123629|-3.06688946787032|-2.23390822719783|-0.345361184038459|0.0262|0.0252|0.0251408409|0.0998463665|0.7074886223|0.0271253898|0.0011|0.0273|0.0023264739|0.0308512923|NA|0.3123715577
-0.00799874077995252|-3.254318671798|-3.02947041318584|-3.02726122116265|-0.227057450635346|0.0249|0.0219|0.0062083807|0.1121567254|0.5720393884|0.0053946368|3e-04|0.0252|0.0551181729|-0.0279609209|NA|0.044922789
-0.104760175489724|-3.00296412508049|-3.05900991947723|-2.63028883979531|-0.372675285285174|0.0222|0.0198|-0.0198343833|0.0665674386|0.5807053804|0.0034398073|4e-04|0.0226|0.0594971434|-0.0049931762|NA|0.0854898336
-0.121550304103625|-2.75944299302728|-2.92540589073461|-2.31017526226072|-0.449267730766557|0.0192|0.0174|-0.0269815795|0.0480623408|0.7290475101|0.028550839|2e-04|0.0194|0.0609224311|0.009512142|NA|0.1187115454
0.17198649931534|-2.50466324822408|-2.70145573537693|-2.01375293415903|-0.490910314065049|0.0171|0.0158|0.0179959757|0.0224205056|0.8895097332|-0.0042526278|0.0033|0.0204|0.009318208|0.0965489832|NA|0.1142093201
0.224862658425609|-2.80694920813706|-2.68980568135967|-2.24975766381315|-0.557191544323916|0.0208|0.0147|-0.0061972911|0.0179941042|0.8626465662|0.0023038979|0.0038|0.0246|0.032178429|0.0924356396|NA|0.1238003839
0.172512410369113|-2.95131776811324|-2.77361278786947|-2.51889685001655|-0.432420918096693|0.021|0.0108|0.0074470346|0.0159180764|0.7874015748|0.0153737357|0.0038|0.0248|0.0208788999|0.0313356268|NA|0.164305949
0.301430309893208|-3.03254624667671|-2.90330854892688|-2.65882983688312|-0.373716409793584|0.0208|0.0079|0.0191709996|0.0083633862|0.7437635753|0.0166247922|0.0038|0.0246|0.0281508917|0.0210122036|NA|0.1645244216
-0.0847479804622769|-3.26968415319387|-3.00177458800995|-2.89499070375246|-0.374693449441411|0.0161|0.0049|-0.0665522961|0.0159400389|0.6132393344|0.0244667735|0.0038|0.0199|0.1073090389|0.0224158663|NA|0.2117400419
0.0439926756726579|-3.07034313734517|-3.19665901817898|-2.66958392027441|-0.400759217070752|0.0174|0.0056|0.0180714801|0.0457874521|0.6924379233|0.0378438683|0.0038|0.0212|-0.0008419237|0.1787034298|NA|0.3184821017
0.0412948279250545|-2.90220621554317|-2.90220621554317|-2.25161864940202|-0.65058756614115|0.0148|0.0066|0.0029108268|0.0193383438|0.725325679|0.0280877614|0.0095|0.0243|-0.0262746615|0.0892673084|0.0343374835|0.239629866
0.152565344956144|-2.79386612068707|-2.80042352123323|-1.89274361028608|-0.901122510400984|0.0121|0.0074|0.0075086392|0.0220800648|0.8409475465|0.0151165189|0.0116|0.0237|0.0338501479|0.0266629284|0.0348096513|0.1571404485
0.253266868440171|-2.68796683264753|-2.59026716544583|-1.97742790937572|-0.710538923271815|0.0099|0.0073|-0.0313029054|0.0123057018|0.7964292839|0.0271651799|0.011|0.0209|0.0643905297|-0.0181688529|0.0289203205|0.1918691125
0.192872992976882|-2.63076257603111|-2.43373269426329|-1.97222092464864|-0.65854165138247|0.009|0.0053|0.0206469821|0.0214613094|0.7225384419|0.0313662586|0.0134|0.0224|0.00050483|0.0576290087|0.0343751955|0.2270227808
0.1423810966724|-2.82483457698203|-2.67243527243168|-2.27642624206699|-0.548408334915034|0.0096|0.006|0.0125185149|0.0121822307|0.7213163466|0.036118982|0.0173|0.0269|-0.0394216053|0.0584651304|0.0324904154|0.2648236662
